a_fullVisitorId,a_hits_customDimensions_value,a_COUNT,a_SUM_totals_pageviews,a_SUM_totals_hits,a_SUM_totals_timeOnSite,a_SUM_hits_hitNumber,a_diffdays_latest,a_diffdays_oldest,a_desktop_flag,a_tablet_flag,a_mobile_flag,a_OS_Windows_flag,a_OS_Macintosh_flag,a_SUM_morning_visit,a_SUM_daytime_visit,a_SUM_evening_visit,a_SUM_midnight_visit,a_page201404,a_page201405,a_page201406,b_hits_customDimensions_value,b_CV_flag
1,1,4,5,10,34,4,24,27,1,0,0,1,0,0,1,0,3,0,0,0,1,0
2,2,1,1,2,1,1,24,24,1,0,0,1,0,0,0,1,0,0,0,0,2,0
3,3,1,1,2,1,1,24,24,1,0,0,1,0,1,0,0,0,0,0,0,3,0
4,4,3,4,8,97,5,11,42,1,0,0,1,0,0,0,0,3,0,0,0,4,0
5,5,1,1,2,2,1,24,24,1,0,0,1,0,0,1,0,0,0,0,0,5,0
6,6,1,1,1,1,1,24,24,1,0,0,1,0,0,0,1,0,0,0,0,6,0
7,7,1,1,2,2,1,24,24,1,0,0,1,0,0,1,0,0,0,0,0,7,0
8,8,1,1,2,3,1,24,24,1,0,0,0,1,0,0,1,0,1,0,0,8,0
9,9,1,1,2,2,1,24,24,1,0,0,1,0,0,0,1,0,0,0,0,9,0
10,10,1,1,2,1,1,24,24,1,0,0,1,0,1,0,0,0,0,0,0,10,0
11,11,1,1,2,1,1,4,4,0,0,1,1,0,1,0,0,0,0,0,0,11,0
12,12,1,1,2,1,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,12,0
13,13,1,1,2,2,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,13,0
14,14,1,1,2,1,1,4,4,1,0,0,1,0,0,0,0,1,0,0,0,14,1
15,15,1,1,2,1,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,15,1
16,16,1,1,2,4,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,16,1
17,17,1,1,2,10,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,17,0
18,18,1,4,5,62,1,4,4,1,0,0,1,0,1,0,0,0,0,0,0,18,0
19,19,1,1,2,1,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,19,0
